Name,ViewCount,CurrentPosition,WeekStartDate
Enrique Iglesias,8104530,86,20171102
Ayo & Teo,7953236,87,20171102
Skillet,7881671,88,20171102
R. Kelly,7853520,89,20171102
Halsey,7802171,90,20171102
YFN Lucci,7800922,91,20171102
Justin Bieber,7793479,92,20171102
Willy William,7736532,93,20171102
Ariana Grande,7595041,94,20171102
Ana Gabriel,7451159,95,20171102
French Montana,7408119,96,20171102
Kane Brown,7312735,97,20171102
Antonio Aguilar,7257130,98,20171102
Los Rehenes,7218353,99,20171102
Trippie Redd,7156236,100,20171102
Chris Brown,35641483,1,20171109
Lil Pump,33038391,2,20171109
Kodak Black,30124221,3,20171109
Post Malone,29827977,4,20171109
Cardi B,27636550,5,20171109
Taylor Swift,27570411,6,20171109
Future,26797487,7,20171109
Ed Sheeran,24588623,8,20171109
Migos,22273480,9,20171109
Metro Boomin,22239879,10,20171109
Gucci Mane,21910998,11,20171109
Ozuna,21499291,12,20171109
YoungBoy Never Broke Again,21445598,13,20171109
Eminem,20594036,14,20171109
Imagine Dragons,20430278,15,20171109
Lil Uzi Vert,20167754,16,20171109
Bad Bunny,19652484,17,20171109
Vicente Fernández,19310748,18,20171109
21 Savage,19092972,19,20171109
Camila Cabello,18869572,20,20171109
Los Bukis,18795146,21,20171109
Banda Sinaloense MS de Sergio Lizárraga,18423033,22,20171109
Los Caminantes,18037962,23,20171109
Kevin Gates,17972906,24,20171109
Los Tigres del Norte,17763375,25,20171109
Young Thug,17506915,26,20171109
Michael Jackson,17366086,27,20171109
XXXTentacion,16941198,28,20171109
Yo Gotti,16932404,29,20171109
J Balvin,15668549,30,20171109
Rihanna,15441193,31,20171109
Beyoncé,15390768,32,20171109
Bruno Mars,15043285,33,20171109
Nicki Minaj,14714008,34,20171109
A Boogie wit da Hoodie,14419907,35,20171109
Daddy Yankee,14009171,36,20171109
Joan Sebastian,13970268,37,20171109
Chief Keef,13840795,38,20171109
Sam Smith,13723064,39,20171109
Wiz Khalifa,13588666,40,20171109
Laberinto,13380856,41,20171109
Tay-K,13149734,42,20171109
SZA,12806680,43,20171109
Logic,12415750,44,20171109
Khalid,12196198,45,20171109
Elvis Presley,12048704,46,20171109
Lil Wayne,11938151,47,20171109
Grupo Bronco,11838444,48,20171109
Demi Lovato,11578398,49,20171109
Luis Fonsi,11562664,50,20171109
Romeo Santos,11498847,51,20171109
BTS,11350238,52,20171109
G-Eazy,11274524,53,20171109
Tierra Cali,11211349,54,20171109
Linkin Park,10915940,55,20171109
Chalino Sánchez,10866326,56,20171109
Kendrick Lamar,10754165,57,20171109
Willy William,10730034,58,20171109
The Weeknd,10659548,59,20171109
Meek Mill,10614696,60,20171109
Drake,10442040,61,20171109
Shakira,10412809,62,20171109
Russ,10359507,63,20171109
Katy Perry,10341363,64,20171109
TWENTY ØNE PILØTS,10270299,65,20171109
blackbear,10268874,66,20171109
DJ Khaled,10085763,67,20171109
Los Inquietos del Norte,9797625,68,20171109
Dua Lipa,9574122,69,20171109
Tupac,9559776,70,20171109
Jenni Rivera,9498566,71,20171109
$uicideboy$,9303383,72,20171109
Marshmello,9284891,73,20171109
Metallica,9223822,74,20171109
Justin Bieber,9220596,75,20171109
Los Tucanes De Tijuana,9146077,76,20171109
Calibre 50,8977699,77,20171109
The Chainsmokers,8847364,78,20171109
Marco Antonio Solís,8819649,79,20171109
Ana Gabriel,8801587,80,20171109
Halsey,8799709,81,20171109
Charlie Puth,8794739,82,20171109
Ariana Grande,8695250,83,20171109
Jacquees,8555273,84,20171109
Trippie Redd,8528464,85,20171109
R. Kelly,8526355,86,20171109
Skillet,8500816,87,20171109
Mike WiLL Made-It,8452744,88,20171109
Maroon 5,8438809,89,20171109
Juan Gabriel,8410372,90,20171109
Antonio Aguilar,8340060,91,20171109
Los Plebes del Rancho de Ariel Camacho,8334465,92,20171109
Mariah Carey,8248257,93,20171109
French Montana,8146730,94,20171109
Ayo & Teo,8083290,95,20171109
Grupo Bryndis,8076810,96,20171109
Pink Floyd,8068506,97,20171109
Kane Brown,7816661,98,20171109
Young Dolph,7798194,99,20171109
NF,7696273,100,20171109
Post Malone,38076175,1,20171116
Chris Brown,36438890,2,20171116
Lil Pump,34014568,3,20171116
Eminem,31293213,4,20171116
Kodak Black,29742079,5,20171116
Cardi B,28483401,6,20171116
Taylor Swift,28267422,7,20171116
21 Savage,26101925,8,20171116
Ed Sheeran,25337773,9,20171116
Future,24656505,10,20171116
Migos,24301424,11,20171116
Ozuna,23746747,12,20171116
Gucci Mane,22284502,13,20171116
YoungBoy Never Broke Again,20591340,14,20171116
Imagine Dragons,20538520,15,20171116
Camila Cabello,20325710,16,20171116
Vicente Fernández,19584734,17,20171116
Bad Bunny,19241051,18,20171116
Lil Uzi Vert,19113401,19,20171116
Banda Sinaloense MS de Sergio Lizárraga,18021337,20,20171116
Los Caminantes,17622843,21,20171116
Kevin Gates,17434100,22,20171116
Los Bukis,17347042,23,20171116
Metro Boomin,17047244,24,20171116
XXXTentacion,16773981,25,20171116
Michael Jackson,16478156,26,20171116
Nicki Minaj,16408489,27,20171116
Young Thug,16098800,28,20171116
Los Tigres del Norte,16059530,29,20171116
Yo Gotti,15822737,30,20171116
Beyoncé,15789127,31,20171116
Daddy Yankee,15500470,32,20171116
Wiz Khalifa,15240029,33,20171116
G-Eazy,15059862,34,20171116
Rihanna,14967050,35,20171116
Bruno Mars,14550095,36,20171116
Joan Sebastian,14390534,37,20171116
Laberinto,14147381,38,20171116
Sam Smith,13960372,39,20171116
Elvis Presley,13756829,40,20171116
Chief Keef,13423127,41,20171116
J Balvin,13267266,42,20171116
A Boogie wit da Hoodie,12998498,43,20171116
SZA,12849726,44,20171116
Logic,12820921,45,20171116
6IX9INE,12570631,46,20171116
Romeo Santos,11870848,47,20171116
BTS,11805202,48,20171116
Chalino Sánchez,11695173,49,20171116
Marshmello,11602139,50,20171116
Lil Wayne,11580553,51,20171116
Tay-K,11357889,52,20171116
Khalid,11241193,53,20171116
Offset,11138273,54,20171116
Grupo Bronco,10974778,55,20171116
Meek Mill,10821799,56,20171116
Demi Lovato,10810678,57,20171116
Luis Fonsi,10721368,58,20171116
Los Inquietos del Norte,10648737,59,20171116
Kendrick Lamar,10553854,60,20171116
Shakira,10352704,61,20171116
Russ,10317855,62,20171116
Linkin Park,10246119,63,20171116
Katy Perry,10199715,64,20171116
Drake,10159798,65,20171116
The Weeknd,10008463,66,20171116
TWENTY ØNE PILØTS,9931543,67,20171116
Mariah Carey,9893755,68,20171116
blackbear,9786152,69,20171116
Maroon 5,9736716,70,20171116
DJ Khaled,9594813,71,20171116
Tierra Cali,9589634,72,20171116
